video_time_s,main_2300_2700_hz,chirp_2880_3060_hz
4.809000,0.024196461,0.000012877
4.811000,0.023252790,0.000018049
4.813000,0.024195505,0.000020737
4.815000,0.024422123,0.000018700
4.817000,0.026311260,0.000021486
4.819000,0.024487322,0.000012242
4.821000,0.019208477,0.000012945
4.823000,0.012867423,0.000008657
4.825000,0.006281987,0.000005747
4.827000,0.005144760,0.000005071
4.829000,0.006736472,0.000004164
4.831000,0.008770645,0.000004844
4.833000,0.008065752,0.000003789
4.835000,0.005845954,0.000005486
4.837000,0.002941008,0.000006085
4.839000,0.002360616,0.000003756
4.841000,0.003926610,0.000006539
4.843000,0.005609894,0.000003486
4.845000,0.005214931,0.000009237
4.847000,0.004780042,0.000009976
4.849000,0.003902295,0.000012829
4.851000,0.002606824,0.000059069
4.853000,0.003099619,0.000132442
4.855000,0.004334152,0.000205312
4.857000,0.004514273,0.000284065
4.859000,0.004913260,0.000387917
4.861000,0.003495527,0.000468915
4.863000,0.002006981,0.000441043
4.865000,0.001815232,0.000359781
4.867000,0.002194330,0.000554987
4.869000,0.006337099,0.000810336
4.871000,0.012144185,0.000833099
4.873000,0.018543067,0.000592514
4.875000,0.020036288,0.000273735
4.877000,0.018294898,0.000267333
4.879000,0.016665917,0.000326911
4.881000,0.015844454,0.000246445
4.883000,0.018568071,0.000116190
4.885000,0.020770383,0.000050161
4.887000,0.019971431,0.000058001
4.889000,0.019598330,0.000030847
4.891000,0.020450150,0.000006808
4.893000,0.021563553,0.000007583
4.895000,0.021988946,0.000006537
4.897000,0.022485383,0.000002765
4.899000,0.023939209,0.000004996
4.901000,0.023981894,0.000003071
4.903000,0.023504946,0.000003936
4.905000,0.024506163,0.000008260
4.907000,0.025485040,0.000005839
4.909000,0.025141653,0.000013515
4.911000,0.024613145,0.000023783
4.913000,0.024407153,0.000016868
4.915000,0.024213357,0.000027747
4.917000,0.023496874,0.000080775
4.919000,0.019258286,0.000088428
4.921000,0.011913365,0.000069083
4.923000,0.006514591,0.000168800
4.925000,0.005350627,0.000192977
4.927000,0.006795308,0.000084466
4.929000,0.009541965,0.000194212
4.931000,0.008990769,0.000327927
4.933000,0.006694990,0.000300527
4.935000,0.005937856,0.000141297
4.937000,0.005231312,0.000206306
4.939000,0.005553258,0.000417019
4.941000,0.006120439,0.000472838
4.943000,0.004873373,0.000311860
4.945000,0.004925274,0.000094698
4.947000,0.003795851,0.000272272
4.949000,0.002207899,0.000331491
4.951000,0.002432260,0.000240822
4.953000,0.004071044,0.000213761
4.955000,0.004307271,0.000238847
4.957000,0.003304509,0.000190372
4.959000,0.003492476,0.000108840
4.961000,0.003108549,0.000203204
4.963000,0.002499665,0.000246892
4.965000,0.001898797,0.000132211
4.967000,0.004547558,0.000226543
4.969000,0.010076431,0.000538133
4.971000,0.016869674,0.000721286
4.973000,0.020382744,0.000709038
4.975000,0.018905044,0.000536886
4.977000,0.015952345,0.000268507
4.979000,0.013436185,0.000124555
4.981000,0.016964465,0.000385293
4.983000,0.020532850,0.000571870
4.985000,0.019926108,0.000597424
4.987000,0.018323767,0.000441342
4.989000,0.018856237,0.000237473
4.991000,0.021362871,0.000336664
4.993000,0.023063059,0.000444043
4.995000,0.023886737,0.000426706
4.997000,0.023376948,0.000399173
4.999000,0.023491954,0.000376657
5.001000,0.024607617,0.000355167
5.003000,0.025845521,0.000353681
5.005000,0.025374092,0.000352342
5.007000,0.024530191,0.000319697
5.009000,0.023604385,0.000266447
5.011000,0.022943398,0.000193769
5.013000,0.022426221,0.000116219
5.015000,0.022383541,0.000067766
5.017000,0.022531756,0.000040572
5.019000,0.022318363,0.000018067
5.021000,0.022071983,0.000024175
5.023000,0.021674917,0.000028972
5.025000,0.022129101,0.000013379
5.027000,0.023040580,0.000033125
5.029000,0.023357933,0.000028276
5.031000,0.024340769,0.000026434
5.033000,0.023687813,0.000028366
5.035000,0.024086491,0.000013252
5.037000,0.024524929,0.000008468
5.039000,0.024244014,0.000004598
5.041000,0.025565755,0.000030139
5.043000,0.025524360,0.000054856
5.045000,0.026541413,0.000078915
5.047000,0.026018665,0.000095035
5.049000,0.025134736,0.000049303
5.051000,0.024529025,0.000141731
5.053000,0.024034109,0.000276451
5.055000,0.025518588,0.000271330
5.057000,0.023803900,0.000337405
5.059000,0.019644906,0.000769626
5.061000,0.013138627,0.001099790
5.063000,0.006684106,0.001104452
5.065000,0.005666862,0.000841437
5.067000,0.005722432,0.000501501
5.069000,0.008724742,0.000401464
5.071000,0.007813225,0.000507668
5.073000,0.004275142,0.000495517
5.075000,0.002496339,0.000373373
5.077000,0.004403155,0.000274893
5.079000,0.005987688,0.000261339
5.081000,0.006054404,0.000260929
5.083000,0.005722229,0.000246096
5.085000,0.004788933,0.000257937
5.087000,0.004014473,0.000326240
5.089000,0.003445608,0.000422902
5.091000,0.003729562,0.000514656
5.093000,0.004394559,0.000556459
